id,age,gender,race,ethnicity,time,feedback
1,64,Male,White,Non-Hispanic,1521,I enjoy surveys and making extra money. No questions.
2,19,Male,Asian,Non-Hispanic,3103,"I almost always ignore race and personality factors, as their background and emotional patterns mostly do not determine whether they are reasonable or not. For the rest, I evaluated if the mistakes they make is honest/unavoidable, or if it was entirely avoidable and/or their own wrongdoing."
3,25,Male,Asian,Non-Hispanic,678,"I thought about what I would do in the situation as I think of myself as a reasonable person. I thought about the actions taken and whether or not it was ""fair"" that the person did them. "
4,42,Male,White,Non-Hispanic,782,I tried to be understanding that sometimes things happen and not to judge each person too harshly.
5,25,Male,White,Non-Hispanic,1307,i just went with my gut i mean does of these thing are not great thing to do i do get it that it happen but still 
6,25,Female,White,Non-Hispanic,2695,
7,26,Female,White,Non-Hispanic,2289,
8,36,Male,White,Non-Hispanic,2001,I just thought of them as an ordinary person and what they should or should not do in each scenario.
9,75,Male,White,Non-Hispanic,1293,"A few of the negative statements threw me a little (the double negative NOT NOT), but otherwise everything seemed easy to understand."
10,35,Female,Asian,Non-Hispanic,872,"Some assumption of how the law would see a situation sometimes influenced me, such as the driving example where the driver was distracted by his phone and sideswiped a biker. I think in the eyes of the law the driver would be at fault, no matter why he was distracted. A lot of the other examples I did not have an obvious legal president to compare to."
11,60,Female,White,Non-Hispanic,1083,I considered each case individually. No comments.
12,59,Female,White,Hispanic,1377,i tried to look at the problem rationally. the fact that you might do something against whether you should.
13,55,Female,Black/African American,Non-Hispanic,2059,i put myself in the situation. 
14,32,Male,White,Non-Hispanic,712,The situation itself as well as their age and the emotional factor.
15,64,Female,White,Non-Hispanic,1022,"If the person behaved the way I think most people in the situation would behave, then I view it as reasonable. Sometimes it also would be more reasonable to take further action."
16,19,Male,Asian,Non-Hispanic,1174,"I thought about what I would do as a short hand to determine the reasonability of the person in the situation. If they did something nonsensical, then that would be something I would not have done, and something no reasonable person would do."
17,48,Female,White,Non-Hispanic,892,"I weighed all info and decided based on what was provided. Very interesting study, thank you!"
18,41,Male,White,Non-Hispanic,696,What I thought influenced me. 
19,35,Non-binary,White,Hispanic,1038,I considered the severity of the situations and/or actions and whether or not it would be a normal reaction given the circumstances.
20,37,Female,White,Non-Hispanic,1480,I considered what would be reasonable knowing what I think and based on law
21,43,Female,White,Non-Hispanic,631,In many cases people's actions were understandable even if they led to poor outcomes.
22,68,Male,White,Non-Hispanic,936,"I used the reasonable person standard. If there was a case where someone had an obligation to act a certain way I took that into consideration, such as if someone was driving I considered that they had an obligation to drive carefully and not recklessly. "
23,46,Male,other_race,Non-Hispanic,719,"I thought about what I would feel were best practice in these situations. The PTSD one was harder because it's tough to know how you'd behave with it. In most cases, I picked choices I felt were dangerous and marked those."
24,32,Female,White,Non-Hispanic,1176,I just thought about myself in the person's shoes.
25,35,Male,White,Non-Hispanic,853,"I attempted to respond as a reasonable person in each scenario, and factors from each scenario impacted my decisions"
26,30,Male,Black/African American,Non-Hispanic,2820,The consequences and scenarios themselves influenced how I responded. 
27,40,Male,White,Non-Hispanic,642,I tried to think logically. Was someone doing something wrong or were these normal things to do in those situations?
28,62,Female,White,Non-Hispanic,1647,"Kind of a general question.  My response varied with the situation.  I didn't pay much attention to the first paragraph, just looked at the action (e.g., checking a text while driving, physically harming a racist asshole, etc., stopping suddenly because you were startled by a dder) and used the ""reasonable person"" instruction.  Except damn, I COULD NOT say that the battered woman was unreasonable for smoking her husband, even if he was NOT an immediate threat to her life.  I thought shooting him was a pretty reasonable reaction, under the circumstances. "
29,26,Male,other_race,Non-Hispanic,768,"I tried to find a single point, if any, where something unreasonable happened. Like the guy who checked his text while driving--it was unreasonable to do so, but not ""unreasonable"" per se to hit the cyclist once he had already done so."
30,40,Female,other_race,Non-Hispanic,2647,"What I believed was right and wrong in a situation, or what I believed was a normal reaction to something."
31,59,Female,White,Non-Hispanic,890,what a smart person does
32,66,Male,White,Non-Hispanic,1403,How much common sense was used in these situations.
33,32,Female,Asian,Non-Hispanic,2247,"I made my decisions based on the overall scenario first then tried to think of whether the choices were ""reasonable"" or not."
34,40,Male,White,Non-Hispanic,609,If the action they performed or didn't perform could could be easily seen to have potential poor outcomes
35,34,Male,Black/African American,Non-Hispanic,1399,My own values and experiences
36,28,Male,other_race,Hispanic,571,What a person who is conscious and aware of their surroundings and situations would have done in order to avoid any negative outcomes 
37,45,Male,White,Non-Hispanic,1318,"I thought of what a reasonable person would do in the same scenario, and used that to help make my decision. Such as did the action the person take make sense? was it ethical? was anyone hurt?"
38,24,Female,Black/African American,Non-Hispanic,1401,"Based on what I think is or isn't reasonable. Like for instance, the little boy Chris playing with his father's gun. I find the child's curiosity reasonable but not the dad's recklessness. However, I wasn't judging the dad, I was judging Chris. "
39,31,Female,White,Non-Hispanic,460,Perceived ability to have chosen actions that could have been foreseen as preventing the unfortunate incident
40,35,Male,Asian,Non-Hispanic,1111,
41,35,Male,Black/African American,Non-Hispanic,1400,"I factored in what a normal person would most likely, and realistically do in those circumstances."
42,49,Male,White,Non-Hispanic,1291,I picked the answers that I thought were unsafe actions.
43,45,Female,White,Non-Hispanic,894,"What I truly thought a ""reasonable"" person might do/be in each situation. The experiment was very interesting to complete and well paid."
44,56,Female,White,Non-Hispanic,980,"I just answered my best, perhaps someone else would do the answers different than me."
45,57,Male,White,Non-Hispanic,2143,The key factors that influenced my decisions were based on if the individuals in question were able to make a conscious decision or if they simply had a logic reaction.  I weighed whether a reasonable person would make the same decisions and actions. 
46,44,Male,Asian,Non-Hispanic,1713,Most of the actions were accidents.  I clicked on actions that should have been or not have been done by a normal person.
47,26,Male,White,Non-Hispanic,826,The information presented. I logically responded without judgement. 
48,31,Male,Asian,Non-Hispanic,773,Who is at fault.
49,28,Male,White,Non-Hispanic,1813,"I tried to answer the questions based on the context of the scenarios. In other words, I tried to consider the extenuating circumstances as much as I could when decided whether or not a reasonable person would have not done something."
50,24,Female,Black/African American,Hispanic,942,I was influenced to respond less negatively if I felt bad for the person or if I felt their actions were justified or understandable.
